;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;
;;regelgeving;;;cultuur;;fysieke infrastructuur;;;vraag;;;netwerken;;leiderschap;;financiering;;talent;;;nieuwe kennis;;;intermediaire diensten;;INDEX;
region;province;RCI Institutions pillar (Nuts 2);inverse natural log;component value;CBS starters /1000 inw (2012);component value;RCI Infrastructure;inv nat log;component value;RCI market size;inv nat log;component value;%bedrijven samenwerken (CIS 2012);component value;Aantal projectentrekkers per 1000 bedrijfsvestigingen (2010-2014);cv;VC per 1000 vestigingen;;%hoger opg bev;;CBS R&D uitgaven 2012 (mln euro);% BBP;component value;CBS % zak dv / bedrijvenpopulatie (2013);component value;;cumulative;multiplicative
NL;;;3,845;;12,544;;;3,752;;;2,4;;61,3;;1,71;;329992,172;;0,272;cv;;0,019586263;;0,204;;;;
NL11;Groningen;1,59;4,904;1,275;10,371;0,827;-0,16;0,852;0,227;-0,24;0,787;0,328;67;1,092;1,84;1,074;84696;0,257;0,27;0,991407799;;0,015518606;0,79;0,151;0,742;;7,606;0,013781649
NL12;Friesland ;1,59;4,904;1,275;10,771;0,859;0,24;1,271;0,339;-0,13;0,878;0,366;62;1,011;0,33;0,19;19860;0,06;0,223;0,821257522;;0,00864218;0,44;0,154;0,755;;6,117;0,000429619
NL13;Drenthe;1,59;4,904;1,275;10,048;0,801;0,13;1,139;0,304;0,03;1,03;0,429;53;0,864;0,35;0,207;4196;0,013;0,216;0,794362066;;0,007514842;0,38;0,135;0,661;;5,732;6,10E-05
NL21;Overijssel;1,23;3,421;0,89;11,049;0,881;1,13;3,096;0,825;0,43;1,537;0,641;65;1,06;1,65;0,963;330005;1;0,247;0,907067237;;0,017185336;0,88;0,174;0,852;;8,896;0,28687659
NL22;Gelderland;1,23;3,421;0,89;12,989;1,035;1,66;5,259;1,402;1,04;2,829;1,179;61;0,995;2,28;1,334;236751;0,717;0,258;0,949795806;;0,023456599;1,2;0,187;0,914;;10,613;1,506980768
NL23;Flevoland;1,3;3,669;0,954;11,411;0,91;1,1;3,004;0,801;0,87;2,387;0,995;60;0,978;0,77;0,45;58131;0,176;0,238;0,87535014;;0,017313791;0,88;0,162;0,795;;7,818;0,032946604
NL31;Utrecht;1,31;3,706;0,964;14,634;1,167;1,76;5,812;1,549;1,45;4,263;1,776;64;1,043;1,73;1,009;312804;0,948;0,358;1,314447773;;0,020379542;1,04;0,266;1,304;;12,115;5,506915189
NL32;Noord-Holland;1,3;3,669;0,954;16,065;1,281;1,1;3,004;0,801;0,87;2,387;0,995;67;1,092;1,44;0,843;329008;0,997;0,311;1,144070232;;0,018789456;0,96;0,229;1,122;;10,188;1,100204288
NL33;Zuid-Holland;1,31;3,706;0,964;12,528;0,999;1,56;4,759;1,268;1,24;3,456;1,44;62;1,011;2,45;1,434;768439;2,329;0,275;1,012100967;;0,019316407;0,99;0,243;1,189;;12,631;7,042170506
NL34;Zeeland;1,31;3,706;0,964;10,56;0,842;0,82;2,27;0,605;0,77;2,16;0,9;55;0,897;0,39;0,229;26321;0,08;0,199;0,730079266;;0,005386313;0,28;0,116;0,569;;6,091;0,000827812
NL41;Noord-Brabant;1,12;3,065;0,797;12,146;0,968;1,98;7,243;1,93;1,27;3,561;1,484;60;0,978;1,76;1,027;245136;0,743;0,263;0,967596403;;0,025893958;1,32;0,199;0,977;;11,194;2,061146539
NL42;Limburg;1,12;3,065;0,797;9,694;0,773;1,99;7,316;1,95;1,26;3,525;1,469;60;0,978;1,02;0,595;228717;0,693;0,23;0,846103628;;0,019410291;0,99;0,147;0,721;;9,814;0,430833488
