"","province","year","inst_val","inst_log","inst_comp","cult_val","cult_comp","infra_val","infra_log","infra_comp","demand_val","demand_log","demand_comp","netw_val","netw_comp","leader_val","leader_vc","finance_val","finance","talent_val","talent_cv","rd","knowl_val","know_comp","inter_val","inter_comp","X","index_value","index_mult","gazelle"
"24","Noord-Holland","2015","1.04","2.836","0.942","16.065","1.281","0.79","2.199","0.855","0.74","2.104","1.083","46.4","0.961","1.44","0.843","658360.2147","1.873","0.332","1.14844522",NA,"0.017188117","0.84","0.234","1.11",NA,"10.94","1.823941413",0.00042239
"25","Overijssel","2009","1.23","3.421","0.89","11.137","0.877","0.48","1.616","0.987","0.18","1.197","0.499","60","1.002785571","1.65","0.963","385425.9866","0.936516497","0.23345367","0.891","527",NA,"0.84","0.141","0.794","34532","8.679","0.206260133",0.000675295
"26","Overijssel","2012","1.23","3.421","0.89","11.049","0.881","1.13","3.096","0.825","0.43","1.537","0.641","65","1.06","1.65","0.963","330005","1","0.247","0.907067237",NA,"0.017185336","0.88","0.174","0.852",NA,"8.896","0.28687659",0.000282714
"27","Overijssel","2015","1.24","3.462","1.15","11.049","0.881","1.03","2.791","1.085","0.19","1.203","0.62","48.9","1.013","1.65","0.963","270918.8","0.771","0.255","0.882496603",NA,"0.018649397","0.92","0.186","0.881",NA,"9.162","0.364714793",0.000462789
"28","Utrecht","2009","1.31","3.706","0.964","14.051","1.106","0.81","2.248","1.373","0.82","2.27","0.946","65","1.086351035","1.73","1.009","901947.953","2.191572875","0.344370861","1.314","1005",NA,"1.08","0.24","1.349","50950","12.423","6.390752375",0.000811359
"29","Utrecht","2012","1.31","3.706","0.964","14.634","1.167","1.76","5.812","1.549","1.45","4.263","1.776","64","1.043","1.73","1.009","312804","0.948","0.358","1.314447773",NA,"0.020379542","1.04","0.266","1.304",NA,"12.115","5.506915189",0.000488885
"30","Utrecht","2015","1.15","3.143","1.044","14.634","1.167","1.65","5.205","2.023","1.25","3.484","1.794","48.8","1.011","1.73","1.009","480170.3356","1.366","0.38","1.315905225",NA,"0.022341753","1.1","0.263","1.246",NA,"13.073","11.07954591",0.000474515
"31","Zeeland","2009","1.31","3.706","0.964","10.498","0.826","0.35","1.419","0.867","-0.12","0.887","0.37","55","0.919220107","0.39","0.229","104063.231","0.252855116","0.195729537","0.747","76",NA,"0.35","0.1","0.56","12053","6.082","0.001972145",0.000513347
"32","Zeeland","2012","1.31","3.706","0.964","10.56","0.842","0.82","2.27","0.605","0.77","2.16","0.9","55","0.897","0.39","0.229","26321","0.08","0.199","0.730079266",NA,"0.005386313","0.28","0.116","0.569",NA,"6.091","0.000827812",0.000155183
"33","Zeeland","2015","1.07","2.904","0.964","10.56","0.842","0.08","1.084","0.421","0.56","1.752","0.902","47.5","0.984","0.39","0.229","229550.7229","0.653","0.217","0.751148272",NA,"0.00591516","0.29","0.12","0.568",NA,"6.606","0.005638376",0.000169731
"34","Zuid-Holland","2009","1.31","3.706","0.964","12.859","1.012","0.76","2.138","1.306","1.05","2.858","1.191","61","1.019498664","2.45","1.434","375172.1389","0.911601474","0.26500956","1.011","2305",NA,"1.04","0.214","1.204","121355","11.097","2.570670191",0.000849968
"35","Zuid-Holland","2012","1.31","3.706","0.964","12.528","0.999","1.56","4.759","1.268","1.24","3.456","1.44","62","1.011","2.45","1.434","768439","2.329","0.275","1.012100967",NA,"0.019316407","0.99","0.243","1.189",NA,"12.631","7.042170506",0.000312799
"36","Zuid-Holland","2015","1.12","3.055","1.015","12.528","0.999","1.15","3.167","1.231","1.09","2.98","1.534","47.5","0.984","2.45","1.434","493128.0304","1.403","0.294","1.01634765",NA,"0.021943009","1.08","0.247","1.171",NA,"11.865","4.859625793",0.000364677
